datetime,visitor_id,device_type,revenue,tax,rev_without_tax,date_time,device_name
2019-10-05 00:00:00,1016870803637,1,173.3314596961336,0.19,140.39848235386822,2019-10-05,Desktop
2019-10-16 00:00:00,24012466194495,1,269.69127065290786,0.19,218.44992922885535,2019-10-16,Desktop
2019-09-19 00:00:00,17029684917498,1,641.0621015714399,0.07,596.1877544614391,2019-09-19,Desktop
2019-09-12 00:00:00,2086917030708,1,519.4360533711985,0.19,420.74320323067076,2019-09-12,Desktop
2019-09-01 00:00:00,5912788198719,1,5.159177339339682,0.19,4.178933644865142,2019-09-01,Desktop
2019-08-11 00:00:00,32541817151812,1,336.5394908823005,0.07,312.9817265205395,2019-08-11,Desktop
2019-09-14 00:00:00,47447038460279,1,993.983502272577,0.07,924.4046571134966,2019-09-14,Desktop
2019-08-30 00:00:00,98117926509986,1,590.6047130318996,0.19,478.38981755583865,2019-08-30,Desktop
2019-10-12 00:00:00,51770556649116,1,533.3757657248497,0.19,432.0343702371282,2019-10-12,Desktop
2019-10-22 00:00:00,62376855740939,1,552.2018822851214,0.19,447.2835246509484,2019-10-22,Desktop
2019-10-31 00:00:00,63263969223132,1,874.5510884156471,0.19,708.3863816166742,2019-10-31,Desktop
2019-10-23 00:00:00,26405162744862,1,417.47120480966447,0.19,338.15167589582825,2019-10-23,Desktop
2019-08-23 00:00:00,4876869989137,1,99.44621266349019,0.19,80.55143225742705,2019-08-23,Desktop
2019-09-16 00:00:00,71533889310724,1,610.2565518255184,0.07,567.5385931977321,2019-09-16,Desktop
2019-09-29 00:00:00,72306775690261,1,306.82559181411983,0.07,285.34780038713143,2019-09-29,Desktop
2019-10-08 00:00:00,18631966576892,1,177.06227689482856,0.07,164.66791751219057,2019-10-08,Desktop
2019-09-23 00:00:00,90406081566701,1,426.79198119844597,0.07,396.91654251455475,2019-09-23,Desktop
2019-09-03 00:00:00,22505388009858,1,9.8298020316967,0.07,9.141715889477931,2019-09-03,Desktop
2019-10-04 00:00:00,38716489905123,1,26.407977736286668,0.07,24.5594192947466,2019-10-04,Desktop
2019-10-18 00:00:00,53802011890484,1,325.4807484353686,0.07,302.69709604489276,2019-10-18,Desktop
2019-10-18 00:00:00,48585243503879,1,201.0222284915636,0.19,162.8280050781665,2019-10-18,Desktop
2019-10-01 00:00:00,9281408126544,1,440.38610576273175,0.07,409.5590783593405,2019-10-01,Desktop
2019-08-10 00:00:00,16017849869680,1,378.71758269877853,0.07,352.20735190986403,2019-08-10,Desktop
2019-08-19 00:00:00,80913862475882,1,740.2010371177074,0.07,688.3869645194679,2019-08-19,Desktop
2019-10-10 00:00:00,4018486171538,1,550.3668678663151,0.19,445.79716297171524,2019-10-10,Desktop
2019-09-30 00:00:00,11071240449757,1,83.90026448318643,0.19,67.95921423138101,2019-09-30,Desktop
2019-08-30 00:00:00,24371325021137,1,952.4009263159148,0.19,771.444750315891,2019-08-30,Desktop
